country,year,week,date,conf,susp,total
Brazil,2015,1,10/01/2015,NA,131,131
Brazil,2015,2,17/01/2015,NA,118,118
Brazil,2015,3,24/01/2015,NA,136,136
Brazil,2015,4,31/01/2015,NA,130,130
Brazil,2015,5,07/02/2015,NA,179,179
Brazil,2015,6,14/02/2015,NA,259,259
Brazil,2015,7,21/02/2015,NA,470,470
Brazil,2015,8,28/02/2015,NA,451,451
Brazil,2015,9,07/03/2015,NA,724,724
Brazil,2015,10,14/03/2015,NA,1088,1088
Brazil,2015,11,21/03/2015,NA,1517,1517
Brazil,2015,12,28/03/2015,NA,2140,2140
Brazil,2015,13,04/04/2015,NA,1618,1618
Brazil,2015,14,11/04/2015,NA,2103,2103
Brazil,2015,15,18/04/2015,NA,4462,4462
Brazil,2015,16,25/04/2015,NA,3191,3191
Brazil,2015,17,02/05/2015,NA,4795,4795
Brazil,2015,18,09/05/2015,NA,5853,5853
Brazil,2015,19,16/05/2015,NA,4797,4797
Brazil,2015,20,23/05/2015,NA,4494,4494
Brazil,2015,21,30/05/2015,NA,3283,3283
Brazil,2015,22,06/06/2015,NA,2835,2835
Brazil,2015,23,13/06/2015,NA,2677,2677
Brazil,2015,24,20/06/2015,NA,2308,2308
Brazil,2015,25,27/06/2015,NA,2383,2383
Brazil,2015,26,04/07/2015,NA,2366,2366
Brazil,2015,27,11/07/2015,NA,3300,3300
Brazil,2015,28,18/07/2015,NA,3970,3970
Brazil,2015,29,25/07/2015,NA,3261,3261
Brazil,2015,30,01/08/2015,NA,2687,2687
Brazil,2015,31,08/08/2015,NA,1951,1951
Brazil,2015,32,15/08/2015,NA,1570,1570
Brazil,2015,33,22/08/2015,NA,1170,1170
Brazil,2015,34,29/08/2015,NA,973,973
Brazil,2015,35,05/09/2015,NA,810,810
Brazil,2015,36,12/09/2015,NA,776,776
Brazil,2015,37,19/09/2015,NA,673,673
Brazil,2015,38,26/09/2015,NA,609,609
Brazil,2015,39,03/10/2015,NA,675,675
Brazil,2015,40,10/10/2015,NA,547,547
Brazil,2015,41,17/10/2015,NA,501,501
Brazil,2015,42,24/10/2015,NA,581,581
Brazil,2015,43,31/10/2015,NA,670,670
Brazil,2015,44,07/11/2015,NA,738,738
Brazil,2015,45,14/11/2015,NA,918,918
Brazil,2015,46,21/11/2015,NA,1313,1313
Brazil,2015,47,28/11/2015,NA,2256,2256
Brazil,2015,48,05/12/2015,NA,3652,3652
Brazil,2015,49,12/12/2015,NA,3879,3879
Brazil,2015,50,19/12/2015,NA,3981,3981
Brazil,2015,51,26/12/2015,NA,3944,3944
Brazil,2015,52,02/01/2016,NA,3877,3877
Brazil,2016,1,09/01/2016,NA,5631,5631
Brazil,2016,2,16/01/2016,1,5651,5652
Brazil,2016,3,23/01/2016,0,5749,5749
Brazil,2016,4,30/01/2016,1,6345,6346
Brazil,2016,5,06/02/2016,12,7163,7175
Brazil,2016,6,13/02/2016,11,7870,7881
Brazil,2016,7,20/02/2016,46,10482,10528
Brazil,2016,8,27/02/2016,21,9503,9524
Brazil,2016,9,05/03/2016,19,8678,8697
Brazil,2016,10,12/03/2016,26,6563,6589
Brazil,2016,11,19/03/2016,54,4866,4920
Brazil,2016,12,26/03/2016,19,3636,3655
Brazil,2016,13,02/04/2016,27,3221,3248
Brazil,2016,14,09/04/2016,23,1748,1771
Brazil,2016,15,16/04/2016,4,1266,1270
Brazil,2016,16,23/04/2016,15,1003,1018
Brazil,2016,17,30/04/2016,19,566,585
Brazil,2016,18,07/05/2016,5,477,482
Brazil,2016,19,14/05/2016,15,258,273
Brazil,2016,20,21/05/2016,13,216,229
